prompt_id,use_case,difficulty,rows,failed_rows,failure_rate,avg_failure_count,high_latency_count,possible_truncations,empty_answers
customer_support_easy_01,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_02,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_03,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_04,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_05,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_06,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_07,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_08,customer_support,easy,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_easy_09,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_10,customer_support,easy,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_easy_11,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_12,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_13,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_14,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_15,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_16,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_17,customer_support,easy,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_easy_18,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_19,customer_support,easy,6,0,0.0,0.0,0,0,0
customer_support_easy_20,customer_support,easy,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_hard_01,customer_support,hard,6,4,0.6666666666666666,1.1666666666666667,3,4,0
customer_support_hard_02,customer_support,hard,6,6,1.0,1.3333333333333333,2,6,0
customer_support_hard_03,customer_support,hard,6,3,0.5,0.5,0,3,0
customer_support_hard_04,customer_support,hard,6,5,0.8333333333333334,1.1666666666666667,1,5,1
customer_support_hard_05,customer_support,hard,6,5,0.8333333333333334,1.0,1,3,0
customer_support_hard_06,customer_support,hard,6,3,0.5,0.6666666666666666,1,3,0
customer_support_hard_07,customer_support,hard,6,3,0.5,0.5,0,3,0
customer_support_hard_08,customer_support,hard,6,6,1.0,1.5,3,6,0
customer_support_hard_09,customer_support,hard,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_hard_10,customer_support,hard,6,4,0.6666666666666666,0.6666666666666666,0,4,0
customer_support_hard_11,customer_support,hard,6,4,0.6666666666666666,1.0,2,4,0
customer_support_hard_12,customer_support,hard,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_hard_13,customer_support,hard,6,4,0.6666666666666666,1.1666666666666667,3,4,0
customer_support_hard_14,customer_support,hard,6,4,0.6666666666666666,1.1666666666666667,3,4,0
customer_support_hard_15,customer_support,hard,6,3,0.5,0.5,0,3,0
customer_support_hard_16,customer_support,hard,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_hard_17,customer_support,hard,6,4,0.6666666666666666,1.0,2,4,0
customer_support_hard_18,customer_support,hard,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_hard_19,customer_support,hard,6,3,0.5,0.8333333333333334,2,3,0
customer_support_hard_20,customer_support,hard,6,3,0.5,0.6666666666666666,1,3,0
customer_support_medium_01,customer_support,medium,6,3,0.5,0.5,0,3,0
customer_support_medium_02,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_03,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_04,customer_support,medium,6,3,0.5,0.5,0,3,0
customer_support_medium_05,customer_support,medium,6,3,0.5,0.5,0,3,0
customer_support_medium_06,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_07,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_08,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_09,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_10,customer_support,medium,6,4,0.6666666666666666,1.1666666666666667,3,4,0
customer_support_medium_11,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_12,customer_support,medium,6,3,0.5,0.5,0,3,0
customer_support_medium_13,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_14,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_15,customer_support,medium,6,3,0.5,0.5,0,3,0
customer_support_medium_16,customer_support,medium,6,4,0.6666666666666666,1.0,2,4,0
customer_support_medium_17,customer_support,medium,6,1,0.16666666666666666,0.16666666666666666,0,1,0
customer_support_medium_18,customer_support,medium,6,4,0.6666666666666666,1.1666666666666667,2,4,1
customer_support_medium_19,customer_support,medium,6,2,0.3333333333333333,0.3333333333333333,0,2,0
customer_support_medium_20,customer_support,medium,6,3,0.5,0.5,0,3,0
document_understanding_easy_01,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_02,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_03,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_04,document_understanding,easy,6,2,0.3333333333333333,0.3333333333333333,0,0,0
document_understanding_easy_05,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_06,document_understanding,easy,6,6,1.0,1.0,0,0,0
document_understanding_easy_07,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_08,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_09,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_10,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_11,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_12,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_13,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_14,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_15,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_16,document_understanding,easy,6,6,1.0,1.0,0,0,0
document_understanding_easy_17,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_18,document_understanding,easy,6,6,1.0,1.0,0,0,0
document_understanding_easy_19,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_easy_20,document_understanding,easy,6,0,0.0,0.0,0,0,0
document_understanding_hard_01,document_understanding,hard,6,2,0.3333333333333333,0.3333333333333333,0,2,0
document_understanding_hard_02,document_understanding,hard,6,0,0.0,0.0,0,0,0
document_understanding_hard_03,document_understanding,hard,6,2,0.3333333333333333,0.3333333333333333,0,2,0
document_understanding_hard_04,document_understanding,hard,6,2,0.3333333333333333,0.5,1,2,0
document_understanding_hard_05,document_understanding,hard,6,3,0.5,0.5,0,3,0
document_understanding_hard_06,document_understanding,hard,6,3,0.5,0.6666666666666666,1,3,0
document_understanding_hard_07,document_understanding,hard,6,3,0.5,0.8333333333333334,2,3,0
document_understanding_hard_08,document_understanding,hard,6,2,0.3333333333333333,0.5,1,2,0
